OrderLabel,OrderValue,objective,t_opt,used_extended_kwargs
2,2.0,0.01682292414648941,-1.2849818796430497,true
3,3.0,0.016979391577533753,-0.056638034547685734,true
5,5.0,0.01695384101782334,-0.9405457585354385,true
10,10.0,0.0171870177773378,-0.05249119811016685,true
15,15.0,0.017054087286014867,0.1290842896397146,true
20,20.0,0.01719155212453066,-0.05064,true
∞,,0.01913433626506318,,
