OrderLabel,NoDur,Manuf,BusEq,Shops,Hlth
2,0.22926957690491287,0.2457483694848405,0.3457832983087327,0.0016059166189304013,0.17759284142755802
3,0.3017775392898967,0.3442665446811246,0.28204727056238016,0.008347637475766504,0.06356100398860146
5,0.3062299488584455,0.32507401476336056,0.30699850261025285,0.02393602048792876,0.03776151355003969
10,0.26518665287533866,0.2719969752814155,0.39254921853588953,0.013980910878426506,0.056286246728383796
15,0.2304759522185418,0.2747745063218863,0.3475794705639167,0.019497975437270897,0.1276721027376647
20,0.2837571395130173,0.2771290749148166,0.3964168586888649,0.006799087596946813,0.03589783928635443
∞,0.17234230223480537,0.5961876749719464,0.23147002279324824,0.0,0.0
