OrderLabel,NoDur,Manuf,BusEq,Shops,Hlth
2,0.3122878469846655,0.029749308412375906,0.5066004377245638,0.0064122633876594485,0.14495015270866018
3,0.19502863299590847,0.11858812073679946,0.31817073684600755,0.08333359966094035,0.2848789133021497
5,0.27420278494548167,0.19072269399223818,0.4052572909433235,0.05254518498776379,0.07727204513119
10,0.2918742491884935,0.029642450803239673,0.6319691779148998,0.03040945696664253,0.016104665126723938
15,0.21480694508862913,0.07304129374395175,0.3743039796490368,0.29183081897539975,0.04601696643073923
20,0.24756029627080026,0.0036832744640954247,0.5345307703155157,0.16476450639075,0.049461150575808265
∞,0.3281727965203446,0.08867189859792311,0.5831553048817323,0.0,0.0
