Date,NoDur,Manuf,BusEq,Shops,Hlth,Benchmark
1933-02-01,-0.090600,-0.174200,-0.212900,-0.181300,-0.109600,-0.153720
1933-03-01,0.103300,0.137100,0.080200,0.085000,-0.032100,0.074700
1933-04-01,0.342400,0.614900,0.565500,0.424500,0.371400,0.463740
1933-05-01,0.126800,0.257800,0.198100,0.172800,0.236600,0.198420
1933-06-01,0.104300,0.129100,0.113900,0.159200,0.103900,0.122080
1933-07-01,-0.066200,-0.121800,-0.114800,-0.134600,-0.191100,-0.125700
1933-08-01,0.098700,0.144000,0.133000,0.071200,-0.004200,0.088540
1933-09-01,-0.074900,-0.110800,-0.184100,-0.087900,-0.013400,-0.094220
1933-10-01,-0.091200,-0.100100,-0.101100,-0.078400,-0.060300,-0.086220
1933-11-01,0.052100,0.120500,0.133300,0.144700,0.094500,0.109020
1933-12-01,-0.034200,0.044500,0.009500,0.044900,-0.117800,-0.010620
1934-01-01,0.100600,0.146600,0.169500,0.174300,0.167900,0.151780
1934-02-01,-0.050400,-0.033500,-0.074000,0.030700,-0.036000,-0.032640
1934-03-01,0.011700,-0.010400,0.042100,0.024000,-0.006400,0.012200
1934-04-01,0.030800,-0.022400,-0.037200,-0.012400,0.080000,0.007760
1934-05-01,-0.029900,-0.113500,-0.081400,-0.079700,-0.003400,-0.061580
1934-06-01,0.038600,0.038600,0.027500,0.024200,0.020300,0.029840
1934-07-01,-0.051200,-0.147000,-0.139000,-0.083600,-0.019000,-0.087960
1934-08-01,0.042300,0.080000,0.073700,0.047100,-0.030700,0.042480
1934-09-01,0.002500,-0.019100,-0.005700,0.025600,0.008200,0.002300
1934-10-01,0.006100,-0.011100,-0.022600,0.016200,-0.007100,-0.003700
1934-11-01,0.085100,0.145900,0.150800,0.097000,0.040600,0.103880
1934-12-01,-0.009400,0.036600,0.041600,-0.010400,0.006100,0.012900
1935-01-01,-0.014000,-0.031700,0.012500,-0.053800,-0.008600,-0.019120
1935-02-01,0.016000,-0.029500,-0.011900,-0.006600,0.043000,0.002200
