Item,high_order,post_kopa
NoDur,0.19502863299590847,0.4361733370935686
Manuf,0.11858812073679946,7.07093687802596e-7
BusEq,0.31817073684600755,0.5638235559935109
Shops,0.08333359966094035,6.376766665232076e-7
Hlth,0.2848789133021497,1.7621425663324234e-6
objective,0.016287605880768097,0.01683076881048283
number of TSD constraints,3.0,927.0
