OrderLabel,OrderValue,objective,t_opt,used_extended_kwargs
2,2.0,0.017011021730197945,-0.6537393202268252,true
3,3.0,0.016287605880768097,-0.2286754067190268,true
5,5.0,0.017187098003859747,-0.056500000000000036,true
10,10.0,0.01869470884601287,-0.05118878400414778,true
15,15.0,0.017510442621091825,0.2879075094099711,true
20,20.0,0.018233487053089765,-0.010596400631571289,true
∞,,0.018147773408681935,,
